DECISION_DATE,CASE_STATUS,CLASS_OF_ADMISSION
29-Aug-08,CERTIFIED,H-1B
21-May-08,CERTIFIED,H-1B
21-May-08,CERTIFIED,H-1B
2-May-08,CERTIFIED,H-1B
3-Dec-07,CERTIFIED-EXPIRED,H-1B
3-Jan-08,CERTIFIED-EXPIRED,H-1B
30-Nov-07,CERTIFIED,H-1B
22-May-08,CERTIFIED,H-1B
12-Feb-08,WITHDRAWN,H-1B
31-Jan-08,DENIED,H-1B
4-Oct-07,CERTIFIED-EXPIRED,H-1B
23-Jul-08,DENIED,H-1B
11-Apr-08,CERTIFIED,H-1B
4-Apr-08,CERTIFIED-EXPIRED,H-1B
25-Feb-08,CERTIFIED-EXPIRED,H-1B
25-Aug-08,CERTIFIED,H-1B
4-Apr-08,CERTIFIED-EXPIRED,H-1B
4-Apr-08,CERTIFIED-EXPIRED,H-1B
17-Jun-08,CERTIFIED,H-1B
22-Aug-08,CERTIFIED,H-1B
9-Jul-08,CERTIFIED,H-1B
30-Apr-08,CERTIFIED,H-1B
9-Apr-08,CERTIFIED,H-1B
5-Mar-08,CERTIFIED-EXPIRED,H-1B
5-Feb-08,CERTIFIED-EXPIRED,H-1B
29-Nov-07,WITHDRAWN,H-1B
17-Oct-07,CERTIFIED-EXPIRED,H-1B
23-Sep-08,CERTIFIED,H-1B
29-Sep-08,CERTIFIED,H-1B
14-Aug-08,CERTIFIED,H-1B
31-Jul-08,CERTIFIED,H-1B
6-Jun-08,CERTIFIED,H-1B
29-May-08,CERTIFIED,H-1B
20-May-08,CERTIFIED,H-1B
16-May-08,CERTIFIED,H-1B
9-May-08,CERTIFIED,H-1B
1-May-08,CERTIFIED,H-1B
4-Apr-08,CERTIFIED-EXPIRED,H-1B
1-Apr-08,CERTIFIED-EXPIRED,H-1B
17-Mar-08,CERTIFIED-EXPIRED,H-1B
12-Feb-08,CERTIFIED-EXPIRED,H-1B
5-Feb-08,CERTIFIED-EXPIRED,H-1B
17-Jan-08,DENIED,H-1B
11-Jan-08,CERTIFIED-EXPIRED,H-1B
3-Jan-08,CERTIFIED-EXPIRED,H-1B
21-Dec-07,CERTIFIED-EXPIRED,H-1B
6-Dec-07,CERTIFIED-EXPIRED,H-1B
23-Nov-07,CERTIFIED-EXPIRED,H-1B
23-Nov-07,CERTIFIED-EXPIRED,H-1B
23-Nov-07,WITHDRAWN,H-1B
13-Nov-07,CERTIFIED-EXPIRED,H-1B
29-Oct-07,DENIED,H-1B
11-Oct-07,CERTIFIED-EXPIRED,H-1B
9-Sep-08,CERTIFIED,H-1B
5-Jun-08,CERTIFIED,H-1B
11-Jan-08,CERTIFIED-EXPIRED,H-1B
17-Jul-08,WITHDRAWN,H-1B
17-Jul-08,WITHDRAWN,H-1B
17-Jul-08,WITHDRAWN,H-1B
17-Jul-08,WITHDRAWN,H-1B
17-Jul-08,WITHDRAWN,H-1B
17-Jul-08,WITHDRAWN,H-1B
17-Jul-08,WITHDRAWN,H-1B
17-Jul-08,WITHDRAWN,H-1B
7-Jan-08,CERTIFIED-EXPIRED,H-1B
4-Jan-08,CERTIFIED-EXPIRED,H-1B
4-Jan-08,CERTIFIED-EXPIRED,H-1B
4-Jan-08,DENIED,H-1B
3-Jan-08,CERTIFIED-EXPIRED,H-1B
19-Dec-07,CERTIFIED-EXPIRED,H-1B
19-Dec-07,CERTIFIED-EXPIRED,H-1B
13-Dec-07,CERTIFIED-EXPIRED,H-1B
13-Dec-07,CERTIFIED-EXPIRED,H-1B
12-Dec-07,CERTIFIED-EXPIRED,H-1B
7-Dec-07,DENIED,H-1B
18-Aug-08,CERTIFIED,H-1B
14-Aug-08,CERTIFIED,H-1B
30-May-08,CERTIFIED,H-1B
16-May-08,CERTIFIED,H-1B
1-May-08,CERTIFIED,H-1B
30-Apr-08,CERTIFIED,H-1B
17-Apr-08,CERTIFIED,H-1B
1-Apr-08,CERTIFIED-EXPIRED,H-1B
18-Mar-08,DENIED,H-1B
11-Mar-08,CERTIFIED-EXPIRED,H-1B
12-Feb-08,WITHDRAWN,H-1B
7-Jan-08,CERTIFIED-EXPIRED,H-1B
21-Dec-07,CERTIFIED-EXPIRED,H-1B
14-Dec-07,CERTIFIED-EXPIRED,H-1B
14-Dec-07,CERTIFIED-EXPIRED,H-1B
13-Dec-07,CERTIFIED-EXPIRED,H-1B
13-Dec-07,CERTIFIED-EXPIRED,H-1B
9-Nov-07,CERTIFIED-EXPIRED,H-1B
29-Sep-08,CERTIFIED,H-1B
23-Sep-08,CERTIFIED,H-1B
19-Sep-08,DENIED,H-1B
17-Sep-08,CERTIFIED,H-1B
12-Sep-08,CERTIFIED,H-1B
10-Sep-08,CERTIFIED,H-1B
4-Sep-08,CERTIFIED,H-1B
28-Aug-08,WITHDRAWN,H-1B
22-Aug-08,CERTIFIED,H-1B
22-Aug-08,CERTIFIED,H-1B
20-Aug-08,CERTIFIED,H-1B
14-Aug-08,CERTIFIED,H-1B
29-Jul-08,CERTIFIED,H-1B
25-Jul-08,CERTIFIED,H-1B
24-Jul-08,CERTIFIED,H-1B
17-Jul-08,CERTIFIED,H-1B
2-Jul-08,CERTIFIED,H-1B
26-Jun-08,CERTIFIED,H-1B
23-Jun-08,CERTIFIED,H-1B
23-Jun-08,CERTIFIED,H-1B
19-Jun-08,CERTIFIED,H-1B
17-Jun-08,CERTIFIED,H-1B
16-Jun-08,CERTIFIED,H-1B
13-Jun-08,CERTIFIED,H-1B
11-Jun-08,CERTIFIED,H-1B
10-Jun-08,CERTIFIED,H-1B
6-Jun-08,CERTIFIED,H-1B
6-Jun-08,CERTIFIED,H-1B
5-Jun-08,CERTIFIED,H-1B
4-Jun-08,CERTIFIED,H-1B
4-Jun-08,CERTIFIED,H-1B
4-Jun-08,CERTIFIED,H-1B
21-May-08,CERTIFIED,H-1B
9-May-08,CERTIFIED,H-1B
1-May-08,CERTIFIED,H-1B
30-Apr-08,CERTIFIED,H-1B
29-Apr-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
17-Apr-08,CERTIFIED,H-1B
16-Apr-08,CERTIFIED,H-1B
7-Apr-08,CERTIFIED,H-1B
2-Apr-08,CERTIFIED-EXPIRED,H-1B
1-Apr-08,CERTIFIED-EXPIRED,H-1B
31-Mar-08,CERTIFIED-EXPIRED,H-1B
31-Mar-08,CERTIFIED-EXPIRED,H-1B
26-Mar-08,CERTIFIED-EXPIRED,H-1B
13-Mar-08,CERTIFIED-EXPIRED,H-1B
5-Mar-08,CERTIFIED-EXPIRED,H-1B
26-Feb-08,DENIED,H-1B
22-Feb-08,CERTIFIED-EXPIRED,H-1B
22-Feb-08,CERTIFIED-EXPIRED,H-1B
13-Feb-08,DENIED,H-1B
8-Feb-08,WITHDRAWN,H-1B
17-Jan-08,DENIED,H-1B
2-Jan-08,WITHDRAWN,H-1B
14-Dec-07,CERTIFIED-EXPIRED,H-1B
19-Nov-07,CERTIFIED-EXPIRED,H-1B
16-Nov-07,WITHDRAWN,H-1B
13-Nov-07,DENIED,H-1B
31-Oct-07,CERTIFIED-EXPIRED,H-1B
25-Oct-07,CERTIFIED-EXPIRED,H-1B
22-Oct-07,CERTIFIED-EXPIRED,H-1B
18-Oct-07,CERTIFIED-EXPIRED,H-1B
15-Oct-07,WITHDRAWN,H-1B
11-Oct-07,CERTIFIED-EXPIRED,H-1B
2-Oct-07,CERTIFIED-EXPIRED,H-1B
22-Sep-08,CERTIFIED,H-1B
11-Sep-08,CERTIFIED,H-1B
5-Aug-08,CERTIFIED,H-1B
25-Jul-08,CERTIFIED,H-1B
30-May-08,DENIED,H-1B
18-Apr-08,CERTIFIED,H-1B
1-Apr-08,CERTIFIED-EXPIRED,H-1B
27-Feb-08,CERTIFIED-EXPIRED,H-1B
28-Jan-08,WITHDRAWN,H-1B
8-Jan-08,CERTIFIED-EXPIRED,H-1B
20-Dec-07,CERTIFIED-EXPIRED,H-1B
2-Nov-07,CERTIFIED-EXPIRED,H-1B
2-Nov-07,CERTIFIED-EXPIRED,H-1B
14-Aug-08,CERTIFIED,H-1B
1-Aug-08,CERTIFIED,H-1B
8-Jul-08,DENIED,H-1B
16-Jun-08,CERTIFIED,H-1B
16-May-08,CERTIFIED,H-1B
12-May-08,CERTIFIED,H-1B
5-May-08,CERTIFIED,H-1B
2-May-08,CERTIFIED,H-1B
2-May-08,DENIED,H-1B
2-May-08,CERTIFIED,H-1B
29-Apr-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
15-Apr-08,CERTIFIED,H-1B
15-Apr-08,CERTIFIED,H-1B
10-Apr-08,CERTIFIED,H-1B
27-Mar-08,CERTIFIED-EXPIRED,H-1B
26-Mar-08,CERTIFIED-EXPIRED,H-1B
25-Mar-08,CERTIFIED-EXPIRED,H-1B
6-Mar-08,CERTIFIED-EXPIRED,H-1B
5-Mar-08,CERTIFIED-EXPIRED,H-1B
28-Feb-08,CERTIFIED-EXPIRED,H-1B
8-Feb-08,CERTIFIED-EXPIRED,H-1B
5-Feb-08,CERTIFIED-EXPIRED,H-1B
5-Feb-08,CERTIFIED-EXPIRED,H-1B
21-Dec-07,CERTIFIED-EXPIRED,H-1B
20-Dec-07,CERTIFIED-EXPIRED,H-1B
27-Nov-07,CERTIFIED-EXPIRED,H-1B
21-Nov-07,DENIED,H-1B
21-Nov-07,CERTIFIED-EXPIRED,H-1B
14-Nov-07,CERTIFIED-EXPIRED,H-1B
1-Nov-07,CERTIFIED-EXPIRED,H-1B
16-Oct-07,CERTIFIED-EXPIRED,H-1B
16-Oct-07,CERTIFIED-EXPIRED,H-1B
10-Oct-07,CERTIFIED-EXPIRED,H-1B
9-Oct-07,CERTIFIED-EXPIRED,H-1B
27-Aug-08,CERTIFIED,H-1B
4-Jun-08,CERTIFIED,H-1B
20-May-08,CERTIFIED,H-1B
20-May-08,CERTIFIED,H-1B
1-May-08,CERTIFIED,H-1B
1-May-08,CERTIFIED,H-1B
30-Apr-08,CERTIFIED,H-1B
11-Apr-08,CERTIFIED,H-1B
5-Mar-08,CERTIFIED-EXPIRED,H-1B
28-Nov-07,DENIED,H-1B
31-Oct-07,CERTIFIED-EXPIRED,H-1B
3-Jun-08,CERTIFIED,H-1B
12-Sep-08,CERTIFIED,H-1B
22-Aug-08,CERTIFIED,H-1B
28-Jul-08,DENIED,H-1B
20-May-08,CERTIFIED,H-1B
29-Apr-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
5-Mar-08,CERTIFIED-EXPIRED,H-1B
22-Feb-08,CERTIFIED-EXPIRED,H-1B
21-Feb-08,CERTIFIED-EXPIRED,H-1B
15-Feb-08,CERTIFIED-EXPIRED,H-1B
14-Feb-08,DENIED,H-1B
11-Dec-07,CERTIFIED-EXPIRED,H-1B
27-Nov-07,CERTIFIED-EXPIRED,H-1B
20-Nov-07,CERTIFIED-EXPIRED,H-1B
30-Oct-07,CERTIFIED-EXPIRED,H-1B
19-Oct-07,CERTIFIED-EXPIRED,H-1B
5-Oct-07,CERTIFIED-EXPIRED,H-1B
26-Sep-08,WITHDRAWN,H-1B
24-Sep-08,CERTIFIED,H-1B
18-Sep-08,CERTIFIED,H-1B
13-Sep-08,WITHDRAWN,H-1B
12-Sep-08,CERTIFIED,H-1B
12-Sep-08,CERTIFIED,H-1B
10-Sep-08,CERTIFIED,H-1B
8-Sep-08,CERTIFIED,H-1B
5-Sep-08,CERTIFIED,H-1B
5-Sep-08,CERTIFIED,H-1B
25-Aug-08,DENIED,H-1B
22-Aug-08,DENIED,H-1B
21-Aug-08,CERTIFIED,H-1B
20-Aug-08,CERTIFIED,H-1B
18-Aug-08,CERTIFIED,H-1B
29-Jul-08,WITHDRAWN,H-1B
8-Jul-08,DENIED,H-1B
23-Jun-08,CERTIFIED,H-1B
20-Jun-08,CERTIFIED,H-1B
11-Jun-08,CERTIFIED,H-1B
10-Jun-08,CERTIFIED,H-1B
6-Jun-08,CERTIFIED,H-1B
5-Jun-08,CERTIFIED,H-1B
23-May-08,CERTIFIED,H-1B
22-May-08,CERTIFIED,H-1B
21-May-08,CERTIFIED,H-1B
19-May-08,DENIED,H-1B
9-May-08,CERTIFIED,H-1B
30-Apr-08,CERTIFIED,H-1B
29-Apr-08,CERTIFIED,H-1B
29-Apr-08,CERTIFIED,H-1B
15-Apr-08,CERTIFIED,H-1B
1-Apr-08,CERTIFIED-EXPIRED,H-1B
26-Mar-08,CERTIFIED-EXPIRED,H-1B
5-Mar-08,CERTIFIED-EXPIRED,H-1B
26-Feb-08,CERTIFIED-EXPIRED,H-1B
15-Feb-08,CERTIFIED-EXPIRED,H-1B
5-Feb-08,CERTIFIED-EXPIRED,H-1B
1-Feb-08,WITHDRAWN,H-1B
29-Jan-08,CERTIFIED-EXPIRED,H-1B
29-Jan-08,CERTIFIED-EXPIRED,H-1B
25-Jan-08,CERTIFIED-EXPIRED,H-1B
22-Jan-08,DENIED,H-1B
18-Jan-08,CERTIFIED-EXPIRED,H-1B
11-Jan-08,CERTIFIED-EXPIRED,H-1B
21-Dec-07,CERTIFIED-EXPIRED,H-1B
21-Dec-07,CERTIFIED-EXPIRED,H-1B
18-Dec-07,CERTIFIED-EXPIRED,H-1B
6-Dec-07,CERTIFIED-EXPIRED,H-1B
28-Nov-07,CERTIFIED-EXPIRED,H-1B
28-Nov-07,CERTIFIED-EXPIRED,H-1B
26-Nov-07,CERTIFIED-EXPIRED,H-1B
16-Nov-07,CERTIFIED-EXPIRED,H-1B
9-Nov-07,CERTIFIED-EXPIRED,H-1B
6-Nov-07,CERTIFIED-EXPIRED,H-1B
2-Nov-07,CERTIFIED-EXPIRED,H-1B
30-Oct-07,CERTIFIED-EXPIRED,H-1B
30-Oct-07,DENIED,H-1B
16-Oct-07,CERTIFIED-EXPIRED,H-1B
20-Aug-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
4-Apr-08,CERTIFIED-EXPIRED,H-1B
8-Sep-08,CERTIFIED,H-1B
29-Aug-08,CERTIFIED,H-1B
29-Aug-08,CERTIFIED,H-1B
20-May-08,CERTIFIED,H-1B
3-Apr-08,CERTIFIED-EXPIRED,H-1B
27-Feb-08,CERTIFIED-EXPIRED,H-1B
11-Jan-08,CERTIFIED-EXPIRED,H-1B
20-Nov-07,CERTIFIED-EXPIRED,H-1B
4-Oct-07,CERTIFIED-EXPIRED,H-1B
24-Sep-08,DENIED,H-1B
3-Sep-08,CERTIFIED,H-1B
8-Aug-08,CERTIFIED,H-1B
4-Apr-08,CERTIFIED-EXPIRED,H-1B
27-Mar-08,CERTIFIED-EXPIRED,H-1B
14-Dec-07,CERTIFIED-EXPIRED,H-1B
7-Dec-07,CERTIFIED-EXPIRED,H-1B
17-Oct-07,CERTIFIED-EXPIRED,H-1B
4-Apr-08,CERTIFIED-EXPIRED,H-1B
8-Feb-08,CERTIFIED-EXPIRED,H-1B
20-Nov-07,DENIED,H-1B
4-Oct-07,WITHDRAWN,H-1B
24-Sep-08,DENIED,H-1B
10-Mar-08,CERTIFIED-EXPIRED,H-1B
12-Dec-07,CERTIFIED-EXPIRED,H-1B
30-Apr-08,CERTIFIED,H-1B
30-Sep-08,DENIED,H-1B
26-Sep-08,CERTIFIED,H-1B
4-Sep-08,CERTIFIED,H-1B
4-Sep-08,CERTIFIED,H-1B
4-Sep-08,DENIED,H-1B
8-Aug-08,CERTIFIED,H-1B
23-Jun-08,CERTIFIED,H-1B
20-Jun-08,CERTIFIED,H-1B
12-Jun-08,CERTIFIED,H-1B
11-Jun-08,CERTIFIED,H-1B
5-Jun-08,CERTIFIED,H-1B
5-Jun-08,CERTIFIED,H-1B
4-Jun-08,CERTIFIED,H-1B
29-May-08,CERTIFIED,H-1B
21-May-08,CERTIFIED,H-1B
20-May-08,CERTIFIED,H-1B
9-May-08,CERTIFIED,H-1B
8-May-08,CERTIFIED,H-1B
6-May-08,CERTIFIED,H-1B
30-Apr-08,CERTIFIED,H-1B
29-Apr-08,CERTIFIED,H-1B
29-Apr-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
16-Apr-08,CERTIFIED,H-1B
16-Apr-08,CERTIFIED,H-1B
15-Apr-08,CERTIFIED,H-1B
11-Apr-08,CERTIFIED,H-1B
11-Apr-08,CERTIFIED,H-1B
10-Apr-08,CERTIFIED,H-1B
7-Apr-08,CERTIFIED,H-1B
4-Apr-08,CERTIFIED-EXPIRED,H-1B
3-Apr-08,CERTIFIED-EXPIRED,H-1B
2-Apr-08,CERTIFIED-EXPIRED,H-1B
2-Apr-08,CERTIFIED-EXPIRED,H-1B
26-Mar-08,CERTIFIED-EXPIRED,H-1B
6-Mar-08,CERTIFIED-EXPIRED,H-1B
17-Jan-08,DENIED,H-1B
26-Nov-07,WITHDRAWN,H-1B
26-Nov-07,WITHDRAWN,H-1B
23-Nov-07,WITHDRAWN,H-1B
9-May-08,CERTIFIED,H-1B
22-Oct-07,CERTIFIED-EXPIRED,H-1B
9-Nov-07,CERTIFIED-EXPIRED,H-1B
6-Jun-08,CERTIFIED,H-1B
25-Aug-08,CERTIFIED,H-1B
6-Jun-08,CERTIFIED,H-1B
20-May-08,CERTIFIED,H-1B
22-Oct-07,CERTIFIED-EXPIRED,H-1B
22-Sep-08,CERTIFIED,H-1B
26-Aug-08,CERTIFIED,H-1B
22-Aug-08,CERTIFIED,H-1B
18-Aug-08,CERTIFIED,H-1B
30-May-08,CERTIFIED,H-1B
9-May-08,CERTIFIED,H-1B
15-Apr-08,CERTIFIED,H-1B
8-Apr-08,CERTIFIED,H-1B
26-Mar-08,CERTIFIED-EXPIRED,H-1B
15-Feb-08,CERTIFIED-EXPIRED,H-1B
11-Feb-08,CERTIFIED-EXPIRED,H-1B
23-Jan-08,CERTIFIED-EXPIRED,H-1B
18-Jan-08,CERTIFIED-EXPIRED,H-1B
15-Jan-08,CERTIFIED-EXPIRED,H-1B
9-Jan-08,CERTIFIED-EXPIRED,H-1B
28-Dec-07,CERTIFIED-EXPIRED,H-1B
28-Dec-07,CERTIFIED-EXPIRED,H-1B
21-Dec-07,CERTIFIED-EXPIRED,H-1B
19-Dec-07,CERTIFIED-EXPIRED,H-1B
12-Dec-07,CERTIFIED-EXPIRED,H-1B
29-Nov-07,DENIED,H-1B
23-Nov-07,CERTIFIED-EXPIRED,H-1B
20-Nov-07,CERTIFIED-EXPIRED,H-1B
20-Nov-07,CERTIFIED-EXPIRED,H-1B
15-Nov-07,CERTIFIED-EXPIRED,H-1B
24-Oct-07,CERTIFIED-EXPIRED,H-1B
24-Oct-07,CERTIFIED-EXPIRED,H-1B
18-Oct-07,CERTIFIED-EXPIRED,H-1B
12-Sep-08,CERTIFIED,H-1B
10-Sep-08,CERTIFIED,H-1B
5-Sep-08,CERTIFIED,H-1B
24-Jul-08,CERTIFIED,H-1B
17-Jul-08,WITHDRAWN,H-1B
11-Jul-08,CERTIFIED,H-1B
10-Jun-08,CERTIFIED,H-1B
29-May-08,CERTIFIED,H-1B
27-May-08,WITHDRAWN,H-1B
20-May-08,CERTIFIED,H-1B
15-May-08,CERTIFIED,H-1B
14-May-08,CERTIFIED,H-1B
9-May-08,CERTIFIED,H-1B
1-May-08,CERTIFIED,H-1B
29-Apr-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
14-Apr-08,CERTIFIED,H-1B
14-Apr-08,CERTIFIED,H-1B
9-Apr-08,CERTIFIED,H-1B
8-Apr-08,CERTIFIED,H-1B
31-Mar-08,CERTIFIED-EXPIRED,H-1B
27-Mar-08,CERTIFIED-EXPIRED,H-1B
26-Mar-08,CERTIFIED-EXPIRED,H-1B
4-Mar-08,CERTIFIED-EXPIRED,H-1B
29-Feb-08,CERTIFIED-EXPIRED,H-1B
29-Feb-08,CERTIFIED-EXPIRED,H-1B
26-Feb-08,CERTIFIED-EXPIRED,H-1B
4-Feb-08,CERTIFIED-EXPIRED,H-1B
25-Jan-08,CERTIFIED-EXPIRED,H-1B
16-Jan-08,CERTIFIED-EXPIRED,H-1B
14-Jan-08,WITHDRAWN,H-1B
11-Jan-08,CERTIFIED-EXPIRED,H-1B
9-Jan-08,DENIED,H-1B
9-Jan-08,CERTIFIED-EXPIRED,H-1B
4-Jan-08,CERTIFIED-EXPIRED,H-1B
18-Dec-07,CERTIFIED-EXPIRED,H-1B
13-Dec-07,CERTIFIED-EXPIRED,H-1B
12-Dec-07,WITHDRAWN,H-1B
30-Nov-07,CERTIFIED-EXPIRED,H-1B
20-Nov-07,CERTIFIED-EXPIRED,H-1B
5-Nov-07,CERTIFIED-EXPIRED,H-1B
1-Nov-07,CERTIFIED-EXPIRED,H-1B
25-Oct-07,CERTIFIED-EXPIRED,H-1B
25-Oct-07,CERTIFIED-EXPIRED,H-1B
23-Oct-07,CERTIFIED-EXPIRED,H-1B
18-Oct-07,CERTIFIED-EXPIRED,H-1B
3-Oct-07,CERTIFIED-EXPIRED,H-1B
28-Aug-08,CERTIFIED,H-1B
18-Jun-08,CERTIFIED,H-1B
5-Jun-08,CERTIFIED,H-1B
1-May-08,CERTIFIED,H-1B
31-Jan-08,CERTIFIED-EXPIRED,H-1B
14-Dec-07,WITHDRAWN,H-1B
12-Dec-07,CERTIFIED-EXPIRED,H-1B
27-Nov-07,CERTIFIED-EXPIRED,H-1B
24-Sep-08,CERTIFIED,H-1B
26-Jun-08,CERTIFIED,H-1B
26-Jun-08,CERTIFIED,H-1B
26-Jun-08,CERTIFIED,H-1B
26-Jun-08,CERTIFIED,H-1B
8-May-08,CERTIFIED,H-1B
7-May-08,CERTIFIED,H-1B
12-Mar-08,CERTIFIED-EXPIRED,H-1B
31-Jan-08,CERTIFIED-EXPIRED,H-1B
24-Oct-07,CERTIFIED-EXPIRED,H-1B
23-Oct-07,CERTIFIED-EXPIRED,H-1B
14-Aug-08,CERTIFIED,H-1B
17-Jan-08,CERTIFIED-EXPIRED,H-1B
4-Jan-08,CERTIFIED-EXPIRED,H-1B
20-Dec-07,CERTIFIED-EXPIRED,H-1B
20-May-08,CERTIFIED,H-1B
26-Sep-08,CERTIFIED,H-1B
26-Sep-08,CERTIFIED,H-1B
19-Sep-08,CERTIFIED,H-1B
19-Sep-08,CERTIFIED,H-1B
9-Sep-08,CERTIFIED,H-1B
25-Aug-08,CERTIFIED,H-1B
19-Aug-08,CERTIFIED,H-1B
19-Aug-08,CERTIFIED,H-1B
18-Aug-08,DENIED,H-1B
18-Aug-08,DENIED,H-1B
15-Aug-08,CERTIFIED,H-1B
14-Aug-08,CERTIFIED,H-1B
14-Aug-08,CERTIFIED,H-1B
12-Aug-08,CERTIFIED,H-1B
1-Aug-08,CERTIFIED,H-1B
1-Aug-08,CERTIFIED,H-1B
31-Jul-08,CERTIFIED,H-1B
24-Jul-08,CERTIFIED,H-1B
10-Jul-08,CERTIFIED,H-1B
3-Jul-08,CERTIFIED,H-1B
2-Jul-08,CERTIFIED,H-1B
27-Jun-08,CERTIFIED,H-1B
25-Jun-08,CERTIFIED,H-1B
23-Jun-08,CERTIFIED,H-1B
19-Jun-08,CERTIFIED,H-1B
17-Jun-08,CERTIFIED,H-1B
17-Jun-08,CERTIFIED,H-1B
13-Jun-08,CERTIFIED,H-1B
12-Jun-08,CERTIFIED,H-1B
3-Jun-08,CERTIFIED,H-1B
2-Jun-08,CERTIFIED,H-1B
30-May-08,CERTIFIED,H-1B
27-May-08,CERTIFIED,H-1B
27-May-08,CERTIFIED,H-1B
21-May-08,CERTIFIED,H-1B
20-May-08,CERTIFIED,H-1B
20-May-08,CERTIFIED,H-1B
20-May-08,CERTIFIED,H-1B
15-May-08,CERTIFIED,H-1B
14-May-08,CERTIFIED,H-1B
14-May-08,CERTIFIED,H-1B
9-May-08,CERTIFIED,H-1B
29-Apr-08,CERTIFIED,H-1B
21-Apr-08,CERTIFIED,H-1B
3-Apr-08,CERTIFIED-EXPIRED,H-1B
2-Apr-08,CERTIFIED-EXPIRED,H-1B
27-Mar-08,CERTIFIED-EXPIRED,H-1B
27-Mar-08,CERTIFIED-EXPIRED,H-1B
27-Mar-08,CERTIFIED-EXPIRED,H-1B
27-Mar-08,CERTIFIED-EXPIRED,H-1B
25-Mar-08,CERTIFIED-EXPIRED,H-1B
21-Mar-08,CERTIFIED-EXPIRED,H-1B
19-Mar-08,DENIED,H-1B
7-Mar-08,CERTIFIED-EXPIRED,H-1B
20-Feb-08,CERTIFIED-EXPIRED,H-1B
14-Feb-08,CERTIFIED-EXPIRED,H-1B
18-Jan-08,CERTIFIED-EXPIRED,H-1B
11-Jan-08,CERTIFIED-EXPIRED,H-1B
2-Jan-08,CERTIFIED-EXPIRED,H-1B
28-Dec-07,CERTIFIED-EXPIRED,H-1B
20-Dec-07,CERTIFIED-EXPIRED,H-1B
18-Dec-07,CERTIFIED-EXPIRED,H-1B
13-Dec-07,CERTIFIED-EXPIRED,H-1B
7-Dec-07,WITHDRAWN,H-1B
5-Dec-07,CERTIFIED-EXPIRED,H-1B
3-Dec-07,DENIED,H-1B
23-Nov-07,DENIED,H-1B
14-Nov-07,CERTIFIED-EXPIRED,H-1B
8-Nov-07,CERTIFIED-EXPIRED,H-1B
5-Nov-07,CERTIFIED-EXPIRED,H-1B
2-Nov-07,CERTIFIED-EXPIRED,H-1B
2-Nov-07,CERTIFIED-EXPIRED,H-1B
30-Oct-07,CERTIFIED-EXPIRED,H-1B
30-Oct-07,CERTIFIED-EXPIRED,H-1B
29-Oct-07,CERTIFIED-EXPIRED,H-1B
25-Oct-07,CERTIFIED-EXPIRED,H-1B
24-Oct-07,CERTIFIED-EXPIRED,H-1B
23-Oct-07,CERTIFIED-EXPIRED,H-1B
22-Oct-07,CERTIFIED-EXPIRED,H-1B
18-Oct-07,CERTIFIED-EXPIRED,H-1B
17-Oct-07,CERTIFIED-EXPIRED,H-1B
16-Oct-07,CERTIFIED-EXPIRED,H-1B
15-Oct-07,CERTIFIED-EXPIRED,H-1B
11-Oct-07,DENIED,H-1B
11-Oct-07,DENIED,H-1B
9-Oct-07,CERTIFIED-EXPIRED,H-1B
7-Apr-08,CERTIFIED,H-1B
11-Jan-08,CERTIFIED-EXPIRED,H-1B
10-Oct-07,CERTIFIED-EXPIRED,H-1B
26-Aug-08,DENIED,H-1B
11-Jan-08,DENIED,H-1B
28-Dec-07,CERTIFIED-EXPIRED,H-1B
3-Oct-07,CERTIFIED-EXPIRED,H-1B
4-Jan-08,CERTIFIED-EXPIRED,H-1B
13-Dec-07,CERTIFIED-EXPIRED,H-1B
21-Nov-07,CERTIFIED-EXPIRED,H-1B
25-Oct-07,CERTIFIED-EXPIRED,H-1B
22-Sep-08,CERTIFIED,H-1B
15-May-08,CERTIFIED,H-1B
27-Mar-08,CERTIFIED-EXPIRED,H-1B
4-Jan-08,CERTIFIED-EXPIRED,H-1B
14-May-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
4-Apr-08,CERTIFIED-EXPIRED,H-1B
3-Apr-08,CERTIFIED-EXPIRED,H-1B
27-Mar-08,CERTIFIED-EXPIRED,H-1B
3-Jan-08,CERTIFIED-EXPIRED,H-1B
20-Dec-07,CERTIFIED-EXPIRED,H-1B
29-Apr-08,CERTIFIED,H-1B
23-Sep-08,CERTIFIED,H-1B
29-Aug-08,CERTIFIED,H-1B
24-Jul-08,CERTIFIED,H-1B
17-Jul-08,WITHDRAWN,H-1B
5-May-08,CERTIFIED,H-1B
30-Apr-08,CERTIFIED,H-1B
29-Apr-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
15-Apr-08,CERTIFIED,H-1B
1-Apr-08,CERTIFIED-EXPIRED,H-1B
27-Mar-08,CERTIFIED-EXPIRED,H-1B
19-Mar-08,CERTIFIED-EXPIRED,H-1B
